published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
8/23/2020,330,335,330,334,1.21,9744,3244469,1
8/24/2020,335,342,334,341,2.1,24033,8156188,1
8/25/2020,343,345,338,341,0,19559,6676270,0
8/26/2020,342,356,340,356,4.4,70492,24591270,1
8/27/2020,353,359,348,349,-1.97,50165,17720820,-1
8/30/2020,346,352,344,350,0.29,42053,14610524,1
8/31/2020,349,357,347,348,-0.57,51664,18089024,-1
9/2/2020,353,357,347,354,1.72,62413,22000958,1
9/3/2020,356,359,351,352,-0.56,30305,10716905,-1
9/6/2020,355,359,348,349,-0.85,46651,16408163,-1
9/7/2020,347,347,343,344,-1.43,21519,7410721,-1
9/8/2020,344,344,338,340,-1.16,17965,6113121,-1
9/9/2020,335,346,335,340,0,24172,8209397,0
9/10/2020,346,346,337,339,-0.29,31556,10718817,-1
9/13/2020,339,340,333,338,-0.29,63808,21450367,-1
9/14/2020,339,350,338,345,2.07,31061,10679398,1
9/15/2020,348,349,340,343,-0.58,28238,9720024,-1
9/16/2020,343,344,339,343,0,31247,10678703,0
9/17/2020,350,350,341,348,1.46,72370,25039216,1
9/20/2020,354,360,349,351,0.86,66577,23427676,1
9/21/2020,351,352,346,348,-0.85,51398,17906886,-1
9/22/2020,350,350,340,340,-2.3,39719,13642638,-1
9/23/2020,338,345,337,345,1.47,32514,11078393,1
9/24/2020,362,362,341,344,-0.29,17914,6153224,-1
9/27/2020,343,348,343,346,0.58,32269,11142222,1
9/28/2020,345,347,343,343,-0.87,28675,9898867,-1
9/29/2020,343,343,339,341,-0.58,15279,5207388,-1
9/30/2020,341,342,336,339,-0.59,35431,12006086,-1
10/1/2020,345,345,339,341,0.59,34784,11919952,1
10/4/2020,347,352,343,344,0.88,47290,16296483,1
10/5/2020,345,348,344,345,0.29,32804,11343674,1
10/6/2020,344,345,343,344,-0.29,24622,8472433,-1
10/7/2020,346,347,341,347,0.87,58162,20023200,1
10/8/2020,349,351,341,344,-0.86,85868,29685175,-1
10/11/2020,347,347,338,341,-0.87,50866,17318873,-1
10/12/2020,339,341,338,341,0,31337,10636593,0
10/13/2020,341,344,339,340,-0.29,35556,12143076,-1
10/14/2020,346,359,344,345,1.47,208273,72543884,1
10/15/2020,350,350,343,345,0,64652,22296529,0
10/18/2020,362,362,337,340,-1.45,38030,12896574,-1
10/19/2020,340,340,336,340,0,30157,10180450,0
10/20/2020,341,344,337,340,0,20746,7044789,0
10/21/2020,342,343,339,342,0.59,30047,10246898,1
10/22/2020,343,343,340,341,-0.29,53142,18141787,-1
10/28/2020,347,359,340,357,4.69,109867,38569132,1
10/29/2020,360,365,350,355,-0.56,149951,53372637,-1
11/1/2020,372,372,351,352,-0.85,283308,100063362,-1
11/2/2020,325,326,321,322,0.63,109052,35182374,1
11/3/2020,325,326,318,320,-0.62,47826,15314485,-1
11/4/2020,336,336,317,318,-0.63,33556,10685624,-1
11/5/2020,333,333,312,313,-1.57,66297,20817441,-1
11/8/2020,328,328,308,310,-0.96,181586,56376117,-1
11/9/2020,310,314,307,309,-0.32,93281,28766938,-1
11/10/2020,314,316,307,312,0.97,76038,23574514,1
11/11/2020,313,316,310,316,1.28,71190,22295140,1
11/12/2020,320,322,315,320,1.27,80634,25816209,1
11/18/2020,322,322,308,316,-1.25,62997,19832693,-1
11/19/2020,317,317,312,315,-0.32,70587,22150206,-1
11/22/2020,320,322,314,316,0.32,70542,22388831,1
11/23/2020,320,320,313,314,-0.63,71053,22375945,-1
11/24/2020,315,316,311,312,-0.64,64248,20135017,-1
11/25/2020,326,326,312,318,1.92,115681,36459620,1
11/26/2020,320,328,317,321,0.94,195812,63226602,1
11/29/2020,321,352,321,343,6.85,232208,78466126,1
11/30/2020,350,364,329,335,-2.33,206797,70729472,-1
12/1/2020,336,336,323,326,-2.69,111587,36457650,-1
12/2/2020,325,330,323,325,-0.31,130000,42406982,-1
12/3/2020,330,330,321,322,-0.92,101063,32749641,-1
12/6/2020,320,320,311,312,-3.11,108674,34257082,-1
12/7/2020,318,324,311,319,2.24,61452,19444493,1
12/8/2020,320,322,315,316,-0.94,36076,11429977,-1
12/9/2020,316,316,312,312,-1.27,49519,15514764,-1
12/10/2020,312,314,310,313,0.32,62228,19391173,1
12/13/2020,313,318,312,318,1.6,88282,27783756,1
12/14/2020,318,324,318,319,0.31,106664,34182617,1
12/15/2020,334,334,318,319,0,107087,34312658,0
12/16/2020,334,334,315,315,-1.25,62605,19877980,-1
12/17/2020,319,319,314,316,0.32,86095,27179217,1
12/20/2020,310,317,308,308,-2.53,150539,46681561,-1
12/21/2020,300,311,300,307,-0.32,147953,44995475,-1
12/22/2020,313,316,308,313,1.95,130399,40607845,1
12/23/2020,316,322,316,316,0.96,132329,42108063,1
12/24/2020,316,317,312,312,-1.27,79537,24999823,-1
12/27/2020,318,318,310,313,0.32,77176,24074998,1
12/28/2020,310,314,310,312,-0.32,58241,18161838,-1
12/29/2020,309,312,309,310,-0.64,57343,17810014,-1
12/30/2020,310,312,308,311,0.32,68267,21167361,1
12/31/2020,315,327,313,321,3.22,215881,69377684,1
1/3/2021,327,340,323,329,2.49,314873,103923925,1
1/4/2021,335,347,335,339,3.04,261807,88926763,1
1/5/2021,335,345,334,344,1.47,228426,77926730,1
1/6/2021,345,365,345,359,4.36,429292,153298806,1
1/7/2021,376,376,352,376,4.74,351392,128764035,1
1/10/2021,376,382,363,376,0,304238,114003576,0
1/11/2021,376,380,370,373,-0.8,317756,119222878,-1
1/12/2021,391,391,365,369,-1.07,116392,42946504,-1
1/13/2021,376,376,367,368,-0.27,125662,46447309,-1
1/17/2021,375,375,362,363,-1.36,80636,29383576,-1
1/18/2021,348,370,348,363,0,159741,58126493,0
1/19/2021,345,368,345,358,-1.38,152623,55005030,-1
1/20/2021,356,363,356,360,0.56,98761,35496076,1
